epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.983,1.52084,3.56548,1.56444,0.00088,0.04279,0.02313,0.0161,1.37409,3.82196,1.43479,0.000223125,0.000223125,0.000223125
2,260.413,1.38252,3.22065,1.4574,0.05665,0.08297,0.04489,0.02376,1.48725,3.6563,1.51895,0.000445908,0.000445908,0.000445908
3,391.244,1.4383,2.873,1.4975,0.47419,0.05088,0.05045,0.02976,1.50037,3.35558,1.51801,0.000652983,0.000652983,0.000652983
4,518.202,1.43694,2.52256,1.47111,0.47665,0.11158,0.08699,0.0434,1.58949,3.1076,1.60671,0.000643314,0.000643314,0.000643314
5,641.403,1.45921,2.34785,1.45691,0.39008,0.1329,0.12482,0.06029,1.58008,2.96648,1.61677,0.000619752,0.000619752,0.000619752
6,784.935,1.38089,2.25096,1.43254,0.53159,0.13561,0.13339,0.07536,1.55205,2.73388,1.59392,0.00059619,0.00059619,0.00059619
7,920.794,1.3525,2.17224,1.43634,0.35773,0.1978,0.16019,0.08251,1.51344,2.69603,1.55525,0.000572628,0.000572628,0.000572628
8,1048.93,1.29557,2.07511,1.42939,0.37787,0.22073,0.18851,0.10226,1.50963,2.44935,1.55167,0.000549066,0.000549066,0.000549066
9,1174.4,1.29107,1.95124,1.41393,0.3425,0.25476,0.23283,0.11967,1.53397,2.36065,1.56614,0.000525504,0.000525504,0.000525504
10,1304.47,1.27168,1.92521,1.39839,0.39978,0.28887,0.26092,0.13643,1.49171,2.34135,1.54773,0.000501942,0.000501942,0.000501942
11,1429.56,1.30607,1.87943,1.40245,0.4543,0.30308,0.29618,0.16029,1.51124,2.25308,1.5809,0.00047838,0.00047838,0.00047838
12,1543.98,1.26945,1.81403,1.36964,0.42522,0.31996,0.3067,0.16469,1.55351,2.30692,1.59221,0.000454818,0.000454818,0.000454818
13,1659.45,1.25564,1.80016,1.35942,0.45266,0.29578,0.29278,0.16319,1.49143,2.24365,1.51984,0.000431256,0.000431256,0.000431256
14,1776.29,1.21445,1.71161,1.34552,0.49726,0.31869,0.34284,0.19638,1.42566,2.12062,1.44524,0.000407694,0.000407694,0.000407694
15,1891.86,1.22455,1.70982,1.35115,0.48122,0.36071,0.36745,0.20597,1.47956,2.10959,1.49865,0.000384132,0.000384132,0.000384132
16,2004.63,1.20896,1.64584,1.33803,0.53764,0.39463,0.41113,0.22833,1.455,2.06281,1.52331,0.00036057,0.00036057,0.00036057
17,2115.78,1.19329,1.59943,1.32245,0.52302,0.39842,0.41519,0.22959,1.42522,2.03084,1.4841,0.000337008,0.000337008,0.000337008
18,2228.01,1.14745,1.60316,1.29211,0.56496,0.4013,0.4249,0.23172,1.45501,2.05227,1.50711,0.000313446,0.000313446,0.000313446
19,2340.89,1.17064,1.52838,1.29992,0.58586,0.39437,0.43946,0.24154,1.44671,2.0005,1.49223,0.000289884,0.000289884,0.000289884
20,2453.98,1.17373,1.5638,1.3144,0.6155,0.40827,0.44895,0.23811,1.44478,1.98248,1.50883,0.000266322,0.000266322,0.000266322
21,2563.49,1.19763,1.6546,1.32702,0.53646,0.44064,0.44111,0.23197,1.46269,2.04566,1.58231,0.00024276,0.00024276,0.00024276
22,2673.62,1.1748,1.57106,1.31608,0.54616,0.41921,0.43566,0.24068,1.48594,2.05214,1.56327,0.000219198,0.000219198,0.000219198
23,2781.64,1.16286,1.52659,1.29733,0.66492,0.39779,0.45599,0.25511,1.44898,1.9264,1.48684,0.000195636,0.000195636,0.000195636
24,2889.76,1.13728,1.49355,1.29207,0.67907,0.41508,0.47792,0.26348,1.42517,1.89711,1.47258,0.000172074,0.000172074,0.000172074
25,2998.44,1.13124,1.47194,1.28023,0.6336,0.44579,0.48895,0.27205,1.39864,1.86,1.45842,0.000148512,0.000148512,0.000148512
26,3107.23,1.09344,1.41952,1.25091,0.60843,0.45814,0.48535,0.27134,1.39143,1.84562,1.43499,0.00012495,0.00012495,0.00012495
27,3215.93,1.07805,1.41069,1.2511,0.62228,0.43865,0.48263,0.27384,1.39851,1.85828,1.45006,0.000101388,0.000101388,0.000101388
28,3324.76,1.09728,1.39777,1.26922,0.62066,0.43907,0.47969,0.27235,1.38474,1.83432,1.4407,7.7826e-05,7.7826e-05,7.7826e-05
29,3435.68,1.07019,1.38789,1.26093,0.60451,0.46467,0.48747,0.27666,1.37497,1.80327,1.42757,5.4264e-05,5.4264e-05,5.4264e-05
30,3546.18,1.08127,1.36176,1.24129,0.60676,0.46362,0.48948,0.27791,1.36535,1.80977,1.41772,3.0702e-05,3.0702e-05,3.0702e-05
