epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,123.645,1.16283,2.59969,2.39312,1.14561,0,0.97369,0.16302,0.33471,0.21456,0.97369,0.16302,0.32923,0.17767,1.23242,3.11908,2.86134,1.21148,0,0.000619048,0.000619048,0.000619048
2,246.297,1.42884,2.88604,1.76169,1.25315,0,0.9066,0.04284,0.18687,0.08809,0.80637,0.03679,0.12884,0.04484,1.89198,4.96493,3.28594,1.67517,0,0.00124329,0.00124329,0.00124329
3,369.186,1.57845,3.12152,1.87746,1.35858,0,0.59717,0.01322,0.03557,0.01098,0.59717,0.01322,0.0299,0.00896,2.93622,7.64272,3.85085,2.48649,0,0.00182352,0.00182352,0.00182352
4,491.336,1.57907,3.10537,1.78019,1.36776,0,0.12275,0.07048,0.02156,0.00509,0.02283,0.01322,0.00073,0.00016,2.77656,13.8402,3.61635,2.95596,0,0.001802,0.001802,0.001802
5,613.205,1.53586,2.99248,1.84195,1.34416,0,0.19666,0.11894,0.06338,0.02235,0.09183,0.06608,0.02574,0.0073,2.33237,7.73718,3.26409,2.5198,0,0.001736,0.001736,0.001736
6,734.668,1.55805,3.05804,1.69128,1.33177,0,0.28374,0.19383,0.13567,0.05522,0.20642,0.13216,0.0795,0.02836,2.13502,6.09892,3.1373,2.25064,0,0.00167,0.00167,0.00167
7,862.678,1.52716,3.02315,1.69629,1.31022,0,0.35253,0.18062,0.1645,0.06384,0.17921,0.15859,0.09205,0.03646,2.04657,4.93613,4.27729,2.19851,0,0.001604,0.001604,0.001604
8,985.176,1.55636,3.02926,1.75736,1.34329,0,0.41973,0.28194,0.23903,0.11608,0.35314,0.23789,0.19733,0.07848,1.9088,4.95953,3.03651,1.96385,0,0.001538,0.001538,0.001538
9,1108.23,1.58878,2.93264,1.84189,1.37252,0,0.48992,0.36564,0.33975,0.17165,0.43924,0.32599,0.30529,0.12271,1.79703,4.10586,2.32214,1.71933,0,0.001472,0.001472,0.001472
10,1230.28,1.42617,2.78483,1.54238,1.26649,0,0.5371,0.37004,0.36943,0.16879,0.47204,0.32159,0.27826,0.09647,1.80099,3.97223,2.19325,1.73192,0,0.001406,0.001406,0.001406
11,1352.37,1.40841,2.76688,1.53545,1.23733,0,0.47827,0.38326,0.37939,0.20115,0.41554,0.3348,0.28407,0.10974,1.75766,3.74646,2.11372,1.65705,0,0.00134,0.00134,0.00134
12,1473.6,1.41145,2.75467,1.52541,1.25366,0,0.52925,0.40088,0.40418,0.21742,0.50631,0.32159,0.32033,0.13322,1.73591,3.76418,2.14492,1.65759,0,0.001274,0.001274,0.001274
13,1597.9,1.39243,2.70397,1.42031,1.22865,0,0.55721,0.36588,0.37997,0.19432,0.56867,0.34802,0.35499,0.15509,1.8514,3.48722,2.15262,1.80019,0,0.001208,0.001208,0.001208
14,1720.13,1.36472,2.74737,1.42564,1.2412,0,0.5364,0.44493,0.45779,0.24871,0.57243,0.40106,0.41225,0.19775,1.69698,3.33938,1.87044,1.59021,0,0.001142,0.001142,0.001142
15,1842.87,1.36997,2.64003,1.37106,1.24311,0,0.66503,0.44934,0.4785,0.25619,0.67279,0.43612,0.45881,0.20224,1.67264,3.29245,1.80508,1.60315,0,0.001076,0.001076,0.001076
16,1967.03,1.33908,2.65612,1.30095,1.21375,0,0.65061,0.45815,0.45972,0.23769,0.56527,0.46256,0.42874,0.18541,1.73789,3.2872,2.11075,1.58429,0,0.00101,0.00101,0.00101
17,2089.78,1.2301,2.42445,1.24351,1.14291,0,0.73051,0.44053,0.47735,0.25843,0.65892,0.40088,0.41462,0.16801,1.66145,3.37531,1.8258,1.51053,0,0.000944,0.000944,0.000944
